user,item
7618,2643
14386,4001
18281,2186
19294,4040
18031,2011
7900,4958
2062,289
7049,5317
4947,1055
4193,593
18448,2299
19395,5785
10398,4497
19381,5887
9302,2608
2249,2744
16977,4670
15177,4880
16598,1641
18652,2479
104,3481
6446,1267
2882,1906
5611,1570
19372,5959
17242,2093
16314,2232
1426,613
16386,1354
17162,1575
2888,3791
3965,3186
7404,3572
6511,322
19102,3065
10652,4390
3186,2667
10020,3359
14368,1112
4273,4470
4835,5671
15723,1949
8161,4682
8510,4836
12808,782
10514,3867
1039,325
17723,4244
9335,4195
12657,3996
2168,819
1134,562
2257,4274
5803,585
8160,1232
5665,651
16563,1781
12498,4124
4549,1493
19213,3404
11730,1512
15076,3427
15406,1087
18394,3486
11240,1126
18896,4636
18691,5170
14018,1241
19238,5339
2307,4926
2338,75
15853,1217
18655,2480
7459,5857
3939,2099
9620,3374
4651,615
4716,5174
1734,4475
3427,1924
14629,5717
6904,350
16489,4060
16263,3717
18441,2901
7405,1275
7004,4903
15735,4537
15647,2438
8560,1300
2560,245
6188,5256
16434,1505
7695,3481
18574,4369
14417,1488
5428,4979
14819,5440
17608,1772
19189,5396
3521,2848
18571,4071
3301,2350
12368,4377
2497,81
4252,2572
2906,5204
7247,1978
4902,210
18226,4036
3544,765
16859,3347
2593,3926
4371,170
8072,556
11301,3576
13934,4121
17392,4749
18932,5366
549,19
16608,3886
5999,607
7537,397
16408,4764
8118,1840
18013,4278
1308,3454
17906,1937
3589,3517
18080,3056
4241,1982
6820,756
2573,1365
6718,479
5663,1597
19400,5592
8343,5341
2586,5764
14387,4224
19404,5711
1386,3495
14822,1900
12105,718
3552,5328
9890,2406
19072,4191
12754,4547
868,2751
8288,1096
4860,5006
19058,2980
8700,3484
7839,5407
9355,3186
14387,5513
9284,502
17391,4473
3538,4467
10477,2509
3808,1884
2577,2022
3535,3415
4156,315
9727,2950
6604,326
19033,3273
387,734
8377,1676
16253,4960
14302,2557
2757,1808
5652,3262
8346,3494
851,87
17418,3421
12378,4394
4752,4668
122,5539
5351,1055
10234,2350
14685,982
94,4245
15109,4693
1119,252
1174,713
6795,1183
9402,507
7803,1939
16860,3278
1603,72
18509,4592
4116,1424
8574,1035
6826,1435
13028,3348
19019,3351
5743,4669
3599,151
8138,1636
11204,2972
15834,3821
1367,2424
4247,1126
12380,4066
16970,3796
14912,5468
15569,1271
1866,3276
4397,1070
6614,1148
15098,5069
17758,5717
2928,104
16742,3565
12833,786
503,1982
3629,151
2216,3281
14203,5129
19366,5687
3313,3328
4206,162
8820,2730
16852,4864
17311,5378
7586,3351
16383,1353
13661,1547
8411,990
1527,2655
6213,2093
1213,4185
16662,1707
18045,4592
3630,3385
7972,5265
12149,2574
13541,849
10258,976
7264,5178
17367,5845
16207,5449
9359,1853
808,874
9167,5066
2305,74
15340,4551
1606,4237
8239,2761
9894,4082
17277,1606
141,7
12593,2214
1570,1547
6028,5322
10961,2008
8846,894
9639,530
14716,4320
17316,2473
1777,2025
3630,1641
18215,2505
5464,261
18654,3895
13456,1276
5598,261
15825,3438
4839,209
6021,1118
8218,544
4240,5542
9312,5770
9608,3846
10518,4821
8035,837
15117,5603
15840,2780
