user,item
509,26
7594,4501
32998,6956
13456,1650
2690,2891
3714,208
3755,209
31195,12393
6561,2934
8923,4117
6693,9469
13792,9678
611,5406
7235,5322
4678,9525
17238,8791
12236,6084
27418,4784
11637,5001
21052,1884
9785,15409
21351,10811
10434,7187
15954,1189
26955,3006
34558,11608
260,3836
18025,1442
34346,11725
9241,4399
24227,10525
10583,4277
6293,12918
3344,5751
7043,5502
10483,663
9219,13685
24402,2420
29527,4938
776,14491
22844,14995
25796,15263
28718,9495
30798,5138
29826,5759
4889,10095
31329,4774
32506,5339
16109,2416
7351,4342
26339,2858
34876,12829
25232,7758
15628,1554
20970,9779
6361,1159
21885,10344
10230,2819
34777,8097
33717,8117
8884,13587
6926,6041
7132,14777
17595,7873
310,4488
19188,3398
25521,12964
6077,4783
288,12808
402,1044
21434,1962
12301,4011
1396,1902
10499,10564
22801,5068
12326,1789
22959,3210
30110,4363
35250,15083
20192,4385
17714,11887
24485,2431
1941,7071
33393,14035
24243,9499
10571,10817
29017,14234
1474,8359
18601,1736
9666,2080
21651,13681
19136,2834
9829,3764
1971,2749
8074,9409
7005,14039
11656,11793
7222,6160
23755,7466
24787,11814
29295,9260
10608,5222
23521,3852
7601,14824
9967,2193
4963,2823
26659,3721
2330,588
10640,6608
26645,6297
29580,11314
3376,1636
30678,4416
1543,5870
6171,8336
9579,13573
29022,3624
10033,13743
23416,5906
10000,11351
18321,7172
7634,8706
3515,12533
3799,5876
24463,2426
1125,3078
25218,5742
32680,6757
6236,14588
7745,9476
31205,8255
4130,4700
1848,13272
32156,6757
29520,4251
17407,10400
9072,12429
14566,1046
12771,3320
13994,4038
27043,4249
17849,10718
17056,12802
34069,11527
5083,272
31230,6218
15793,4357
12971,907
6493,3260
5548,10400
18129,8291
30212,10601
5025,267
6964,401
5035,4927
25706,2648
6855,1397
1172,49
13419,5234
7009,5247
741,994
2632,148
18303,2967
28841,14142
12595,9668
24931,9418
6368,9388
26172,2828
29456,5555
17040,1315
35334,13760
204,8
28923,10919
28794,8819
28140,14445
30095,4724
20248,1768
32486,7399
17925,3923
4688,10831
35001,13550
2334,13673
106,13436
32587,9171
15326,6934
26604,11503
32273,13707
34228,8150
828,14360
21189,13353
3648,5841
881,9268
5387,10051
24515,5194
27770,10189
29651,4683
24019,7996
29704,6007
31853,10115
20077,2825
10488,8041
11849,779
18070,9158
15684,1165
33765,14283
32261,13323
23978,4962
18644,1516
4438,14978
7623,11310
8573,5268
30018,8799
1246,14469
33858,7277
13154,9608
17908,12213
1227,7811
9945,9684
25581,12694
473,9823
28078,5996
19704,1681
33239,15341
9530,582
32260,5901
33320,12297
7203,7691
18390,12896
26248,7495
34756,11810
26380,13838
31463,4833
1578,3315
13257,15398
13603,9619
15012,3337
20539,2482
29291,11853
10967,697
8724,5033
6969,10678
17463,1367
10491,6595
33182,9330
22333,9782
2070,744
4566,237
23712,2345
12418,5379
19082,3216
12290,12549
32464,7020
21130,15351
25313,10785
26533,11986
28097,3363
9716,4505
2858,975
2766,14218
9505,9920
6668,5438
7907,465
868,307
19,14325
10267,11963
2874,165
25829,15024
30552,7928
26588,9414
20342,4166
12403,13365
2100,7160
8924,3000
1319,179
4648,4369
9753,8709
16546,1264
9481,8021
18254,1465
12268,10696
4372,9389
14985,5462
22370,2093
3780,9477
