user,item
19701,11369
10701,4148
19797,17493
19819,15562
38320,14714
10765,17904
373,5992
21906,5960
14464,15211
10108,601
9335,4061
29964,15142
24923,2681
30737,4512
7641,6949
36123,9811
6439,8771
23837,17695
30740,13828
12750,828
2808,9154
8239,17606
37890,14756
14927,10367
15481,1127
19374,12263
18748,2187
24689,2635
11562,9149
4267,4864
29700,12221
9031,8911
6856,9998
20447,11724
19425,1648
14039,14816
10627,8871
33239,5863
1907,3919
11241,3846
25960,16044
29666,10358
27491,11445
20048,4256
15060,5419
28981,3839
3419,16259
10463,10345
2120,8349
31117,13377
31344,6186
16562,4963
23462,2333
24983,2708
35812,8205
27700,5553
34816,15565
38247,12118
10141,11987
650,7158
20717,16257
19649,10000
37766,18611
30763,18110
3098,4890
32356,7973
3893,2909
29417,16046
32779,16212
1261,11634
25129,6266
24939,11804
27981,11056
30257,17191
28359,9696
23440,2328
17459,11903
27168,10953
27300,11072
24309,14791
9655,7152
19866,13768
11420,2225
14033,17579
37219,17287
37630,11903
2603,10172
7559,9471
865,16895
17256,1344
29981,10503
27816,12278
12319,3196
1704,8016
22135,5526
4392,5235
11613,711
17688,7767
21199,11439
34983,19195
27793,3784
33928,10891
23317,6785
32453,19559
11696,9232
12689,820
30777,4529
19072,1613
527,16876
4225,7165
16329,13762
29376,9174
32077,13795
22244,5819
35783,8109
25984,9543
29055,15949
25271,13808
8236,8908
31682,10233
6656,7172
20161,3462
24669,2628
7823,633
23557,3212
29515,4041
28551,4523
10564,1620
32009,5151
8507,6900
8292,2774
12407,7873
8976,16238
29083,5515
19466,9437
28327,13116
11085,10367
3776,6376
2630,960
35054,7303
35548,7838
13510,9428
38028,17940
17801,4395
36690,9321
9248,14078
25551,2844
15965,1161
17642,12629
28727,3759
5162,268
268,18062
21102,13303
33984,10368
34882,11518
6773,14122
8609,7153
4342,3912
19716,18256
27903,3497
673,31
2682,9794
6137,325
6178,326
20457,2426
7332,6357
33088,11923
7009,10053
21859,8936
17747,3354
22907,6647
22564,16861
37610,14902
6449,2482
13820,935
37470,18305
2395,288
12580,12099
6510,6141
21596,13437
25866,3363
9868,2401
25675,3795
30709,4505
33078,7421
2150,16672
38151,17885
14725,18690
34032,8880
38610,15955
23517,11652
23551,16898
5494,9092
26908,17474
32538,6918
5427,700
28375,14580
3781,11176
197,12129
1605,6376
20084,2571
35921,8311
16530,12034
13018,14553
19496,12200
